Distance_(pixels),Gray_Value
0,2.553
1,2.456
2,2.650
3,2.825
4,2.913
5,2.981
6,3.155
7,3.097
8,3.049
9,3.301
10,3.301
11,3.214
12,3.350
13,3.398
14,3.427
15,3.330
16,3.223
17,3.282
18,3.282
19,3.233
20,3.359
21,3.350
22,3.165
23,3.146
24,3.058
25,2.864
26,2.689
27,2.670
28,2.748
29,2.621
30,2.602
31,2.476
32,2.466
33,2.398
34,2.553
35,2.592
36,2.515
37,2.660
38,2.728
39,2.942
40,3.068
41,3.233
42,3.369
43,3.553
44,3.748
45,3.990
46,4.087
47,4.417
48,4.748
49,4.932
50,4.913
51,5.058
52,5.427
53,5.320
54,5.369
55,5.680
56,5.602
57,5.699
58,5.621
59,5.621
60,5.621
61,5.476
62,5.408
63,5.194
64,5.117
65,5.049
66,4.670
67,4.466
68,4.204
69,4.087
70,3.767
71,3.563
72,3.398
73,3.301
74,3.175
75,3.058
76,3.049
77,3.000
78,2.786
79,3.049
80,3.136
81,2.951
82,3.456
83,3.379
84,3.563
85,3.748
86,3.942
87,4.417
88,4.757
89,5.204
90,5.330
91,5.602
92,5.922
93,6.146
94,6.398
95,6.728
96,6.913
97,7.068
98,7.194
99,7.204
100,7.340
101,7.301
102,7.330
103,7.243
104,6.990
105,6.893
106,6.699
107,6.398
108,5.981
109,5.748
110,5.476
111,5.136
112,4.874
113,4.660
114,4.350
115,3.883
116,3.718
117,3.602
118,3.485
119,3.311
120,3.214
121,3.194
122,3.107
123,3.068
124,3.078
125,3.252
126,3.233
127,3.534
128,3.825
129,4.000
130,4.272
131,4.612
132,4.660
133,4.796
134,5.359
135,5.641
136,5.612
137,6.000
138,6.155
139,6.437
140,6.602
141,6.417
142,6.650
143,6.612
144,6.476
145,6.680
146,6.544
147,6.320
148,6.175
149,5.981
150,5.670
151,5.602
152,5.388
153,5.136
154,4.709
155,4.524
156,4.194
157,3.932
158,3.845
159,3.621
160,3.427
161,3.146
162,3.117
163,2.835
164,2.854
165,2.825
166,2.796
167,2.738
168,2.796
169,2.835
170,2.845
171,2.942
172,3.049
173,3.282
174,3.311
175,3.330
176,3.612
177,3.602
178,3.864
179,4.000
180,3.874
181,3.951
182,3.990
183,4.019
184,3.971
185,4.165
186,4.019
187,4.019
188,3.981
189,3.942
190,3.990
191,3.806
192,3.660
193,3.524
194,3.515
195,3.340
196,3.262
197,3.097
198,3.029
199,2.932
200,2.942
201,2.864
202,2.583
203,2.602
204,2.670
205,2.641
206,2.544
207,2.466
208,2.359
209,2.534
210,2.437
211,2.408
212,2.447
213,2.437
214,2.369
215,2.408
216,2.466
217,2.330
218,2.485
219,2.476
220,2.447
221,2.408
222,2.495
223,2.583
224,2.602
225,2.689
226,2.641
227,2.709
228,2.903
229,2.981
230,2.854
231,2.709
232,2.913
233,3.000
234,2.757
235,2.816
236,2.854
237,2.835
238,2.883
239,2.718
240,2.699
241,2.709
242,2.650
243,2.563
244,2.592
245,2.592
246,2.515
247,2.524
248,2.592
249,2.544
250,2.738
251,2.524
252,2.495
253,2.476
254,2.476
255,2.583
256,2.728
257,2.981
258,3.282
259,3.194
260,3.291
261,3.602
262,4.078
263,4.311
264,4.748
265,4.971
266,5.165
267,5.524
268,5.874
269,6.165
270,6.748
271,6.845
272,7.282
273,7.670
274,7.786
275,7.951
276,8.107
277,8.155
278,8.262
279,8.223
280,8.097
281,8.165
282,7.816
283,7.602
284,7.204
285,7.233
286,6.961
287,6.476
288,6.282
289,5.816
290,5.485
291,5.029
292,4.864
293,4.670
294,4.592
295,4.515
296,4.408
297,4.515
298,4.854
299,5.136
300,5.505
301,6.136
302,6.670
303,7.583
304,8.466
305,9.641
306,10.602
307,11.670
308,12.932
309,14.194
310,15.835
311,16.990
312,18.117
313,19.573
314,20.835
315,21.874
316,22.417
317,23.311
318,24.117
319,24.398
320,24.621
321,24.767
322,24.272
323,24.184
324,24.087
325,23.029
326,22.058
327,21.485
328,20.214
329,18.990
330,17.709
331,16.408
332,15.126
333,13.796
334,12.592
335,11.350
336,10.272
337,9.534
338,8.951
339,8.592
340,8.359
341,8.641
342,8.942
343,9.631
344,10.961
345,12.126
346,13.748
347,15.718
348,17.621
349,20.068
350,22.534
351,25.136
352,27.583
353,30.718
354,33.903
355,36.553
356,38.971
357,41.689
358,44.330
359,46.447
360,48.087
361,49.379
362,50.777
363,51.573
364,52.000
365,51.922
366,51.126
367,49.835
368,48.641
369,47.340
370,45.291
371,43.058
372,40.175
373,37.184
374,34.447
375,31.621
376,28.699
377,25.573
378,23.126
379,20.864
380,18.408
381,16.534
382,15.233
383,14.262
384,13.748
385,13.748
386,14.621
387,15.845
388,17.408
389,19.786
390,22.476
391,25.447
392,29.000
393,32.922
394,37.544
395,42.126
396,46.243
397,50.903
398,55.573
399,59.854
400,64.456
401,68.408
402,71.670
403,74.680
404,77.476
405,79.262
406,81.107
407,81.825
408,81.447
409,81.291
410,80.291
411,78.748
412,75.699
413,72.602
414,68.893
415,64.786
416,60.621
417,56.456
418,51.476
419,46.534
420,42.175
421,38.214
422,33.699
423,29.699
424,26.282
425,23.621
426,21.398
427,19.806
428,19.155
429,18.913
430,19.786
431,21.379
432,23.408
433,26.505
434,30.291
435,34.689
436,39.534
437,45.019
438,50.825
439,56.417
440,62.738
441,68.757
442,74.903
443,80.650
444,85.583
445,90.864
446,95.117
447,98.718
448,102.000
449,104.019
450,105.155
451,105.495
452,104.932
453,103.641
454,101.757
455,99.476
456,95.553
457,91.272
458,86.806
459,80.913
460,74.971
461,69.136
462,63.350
463,57.592
464,51.476
465,45.816
466,40.573
467,35.806
468,31.553
469,28.087
470,24.961
471,22.942
472,21.874
473,21.757
474,22.320
475,23.971
476,26.233
477,29.456
478,33.417
479,37.922
480,42.913
481,48.602
482,54.796
483,60.883
484,67.641
485,74.029
486,80.000
487,86.078
488,91.825
489,96.670
490,101.078
491,104.816
492,107.563
493,109.340
494,110.777
495,111.709
496,110.437
497,108.524
498,105.864
499,102.932
500,99.359
501,94.641
502,89.864
503,84.068
504,77.330
505,71.010
506,64.816
507,58.670
508,52.350
509,46.204
510,40.806
511,36.408
512,31.806
513,27.922
514,25.301
515,23.466
516,22.573
517,22.767
518,23.786
519,25.282
520,27.350
521,30.903
522,35.058
523,39.864
524,45.369
525,51.272
526,56.845
527,62.796
528,69.146
529,75.981
530,81.971
531,87.175
532,91.748
533,97.107
534,101.184
535,104.476
536,106.039
537,107.573
538,108.311
539,107.728
540,106.456
541,104.922
542,102.252
543,98.573
544,94.757
545,88.835
546,83.427
547,77.728
548,71.602
549,65.738
550,59.612
551,53.437
552,47.272
553,41.777
554,36.922
555,32.233
556,28.272
557,25.165
558,22.602
559,20.893
560,20.243
561,20.340
562,20.835
563,22.243
564,24.301
565,27.252
566,30.369
567,34.476
568,38.699
569,43.262
570,47.573
571,52.544
572,57.340
573,62.000
574,66.524
575,70.359
576,73.757
577,77.126
578,79.505
579,81.602
580,82.738
581,83.223
582,83.621
583,82.816
584,81.078
585,78.680
586,76.544
587,73.350
588,69.767
589,66.087
590,61.427
591,56.864
592,52.650
593,47.835
594,43.097
595,38.738
596,34.437
597,30.369
598,26.466
599,23.408
600,20.757
601,18.485
602,16.689
603,15.437
604,14.932
605,14.903
606,15.417
607,16.544
608,17.757
609,19.573
610,21.728
611,24.262
612,27.019
613,29.553
614,32.534
615,35.427
616,38.427
617,41.155
618,43.476
619,45.670
620,47.922
621,49.757
622,51.117
623,52.078
624,52.408
625,52.282
626,52.223
627,51.524
628,50.592
629,49.621
630,47.447
631,45.340
632,42.961
633,40.019
634,37.534
635,34.816
636,31.932
637,29.320
638,26.204
639,23.505
640,21.087
641,18.621
642,16.408
643,14.757
644,13.107
645,11.612
646,10.670
647,9.990
648,9.427
649,9.408
650,9.718
651,10.000
652,10.583
653,11.417
654,12.689
655,13.544
656,14.854
657,16.379
658,17.660
659,19.175
660,20.388
661,21.544
662,22.544
663,23.175
664,24.427
665,25.126
666,25.107
667,25.495
668,25.660
669,25.456
670,24.913
671,24.456
672,23.893
673,23.311
674,22.252
675,21.087
676,20.000
677,18.806
678,17.650
679,16.252
680,14.922
681,13.699
682,12.495
683,11.117
684,10.155
685,9.243
686,8.320
687,7.476
688,6.854
689,6.272
690,5.874
691,5.524
692,5.262
693,5.233
694,5.272
695,5.495
696,5.408
697,5.680
698,5.854
699,6.233
700,6.602
701,6.961
702,7.243
703,7.650
704,8.204
705,8.214
706,8.680
707,8.835
708,9.097
709,9.408
710,9.350
711,9.146
712,9.214
713,9.126
714,8.728
715,8.602
716,8.485
717,7.990
718,7.553
719,7.437
720,6.883
721,6.816
722,6.524
723,5.864
724,5.553
725,5.223
726,4.981
727,4.825
728,4.408
729,3.951
730,3.854
731,3.748
732,3.437
733,3.398
734,3.330
735,3.155
736,3.184
737,3.000
738,3.000
739,2.961
740,2.913
741,2.913
742,2.903
743,2.961
744,3.039
745,3.146
746,3.146
747,3.184
748,3.194
749,3.243
750,3.311
751,3.291
752,3.039
753,3.272
754,3.184
755,3.272
756,3.165
757,3.068
758,3.078
759,3.039
760,3.029
761,2.932
762,2.981
763,2.913
764,2.835
765,2.932
766,3.078
767,3.000
768,2.981
769,2.767
770,2.835
771,2.699
772,2.680
773,2.748
774,2.680
775,2.544
776,2.825
777,2.806
778,2.612
779,2.680
780,2.757
781,2.544
782,2.738
783,2.699
784,2.641
785,2.699
786,2.913
787,2.951
788,3.019
789,2.990
790,3.117
791,3.214
792,3.223
793,3.388
794,3.505
795,3.553
796,3.718
797,4.000
798,4.049
799,3.874
800,4.107
801,4.252
802,4.175
803,4.097
804,4.379
805,4.155
806,4.136
807,4.010
808,4.204
809,4.078
810,4.117
811,3.757
812,3.806
813,3.612
814,3.379
815,3.476
816,3.340
817,3.282
818,3.194
819,3.136
820,3.010
821,2.951
822,2.835
823,2.874
824,2.981
825,3.107
826,3.204
827,3.252
828,3.204
829,3.495
830,3.961
831,3.786
832,4.087
833,4.417
834,4.786
835,5.068
836,5.184
837,5.456
838,5.854
839,6.029
840,6.204
841,6.388
842,6.427
843,6.573
844,6.796
845,6.854
846,6.854
847,6.825
848,6.650
849,6.515
850,6.573
851,6.553
852,6.243
853,6.175
854,5.738
855,5.544
856,5.272
857,4.883
858,4.650
859,4.388
860,4.087
861,3.816
862,3.621
863,3.524
864,3.602
865,3.485
866,3.340
867,3.359
868,3.223
869,3.456
870,3.845
871,3.806
872,3.816
873,4.175
874,4.379
875,4.660
876,4.951
877,5.214
878,5.680
879,5.932
880,6.330
881,6.573
882,6.680
883,7.155
884,7.194
885,7.466
886,7.553
887,7.757
888,7.854
889,7.680
890,7.699
891,7.621
892,7.485
893,7.398
894,7.204
895,6.971
896,6.796
897,6.427
898,6.282
899,6.097
900,5.660
901,5.252
902,4.786
903,4.748
904,4.340
905,4.087
906,3.903
907,3.777
908,3.388
909,3.505
910,3.350
911,3.311
912,3.350
913,3.495
914,3.456
915,3.553
916,3.689
917,3.767
918,3.932
919,4.136
920,4.359
921,4.621
922,4.709
923,5.165
924,5.184
925,5.350
926,5.612
927,5.777
928,5.913
