Distance_(pixels),Gray_Value
0,105.000
1,3.690
2,3.619
3,3.802
4,3.690
5,3.675
6,3.849
7,3.746
8,3.857
9,3.865
10,3.929
11,4.016
12,3.857
13,3.944
14,3.992
15,4.175
16,4.056
17,4.143
18,4.198
19,4.262
20,4.190
21,4.325
22,4.548
23,4.437
24,4.444
25,4.746
26,4.841
27,4.794
28,4.857
29,5.190
30,5.016
31,5.032
32,5.016
33,5.238
34,5.246
35,5.286
36,5.087
37,5.214
38,5.071
39,5.040
40,5.016
41,5.071
42,5.079
43,5.087
44,5.079
45,5.167
46,4.929
47,4.817
48,4.889
49,4.675
50,4.944
51,4.468
52,4.508
53,4.310
54,4.476
55,4.222
56,4.071
57,4.206
58,4.071
59,4.190
60,3.960
61,4.040
62,3.881
63,4.024
64,4.143
65,4.040
66,4.087
67,4.103
68,4.159
69,4.246
70,4.429
71,4.476
72,4.675
73,4.698
74,5.119
75,5.008
76,5.206
77,5.389
78,5.595
79,5.675
80,6.024
81,6.127
82,6.317
83,6.524
84,6.563
85,6.952
86,6.802
87,7.183
88,7.619
89,7.302
90,7.437
91,7.738
92,7.556
93,7.683
94,7.825
95,7.690
96,7.889
97,7.619
98,7.786
99,7.563
100,7.627
101,7.246
102,7.151
103,7.056
104,6.984
105,6.730
106,6.690
107,6.175
108,6.032
109,5.952
110,5.889
111,5.635
112,5.532
113,5.254
114,5.040
115,4.849
116,4.762
117,4.508
118,4.421
119,4.484
120,4.492
121,4.389
122,4.175
123,4.278
124,4.365
125,4.206
126,4.349
127,4.444
128,4.738
129,4.802
130,4.905
131,5.095
132,5.452
133,5.611
134,5.778
135,6.183
136,6.468
137,6.698
138,6.841
139,7.310
140,7.659
141,7.730
142,7.944
143,8.294
144,8.452
145,8.563
146,8.929
147,8.976
148,9.206
149,9.389
150,9.452
151,9.468
152,9.690
153,9.571
154,9.421
155,9.516
156,9.413
157,9.206
158,9.127
159,8.944
160,8.556
161,8.627
162,8.444
163,8.063
164,7.754
165,7.690
166,7.357
167,7.214
168,6.825
169,6.516
170,6.127
171,5.873
172,5.897
173,5.659
174,5.286
175,5.206
176,4.913
177,4.714
178,4.802
179,4.508
180,4.349
181,4.540
182,4.278
183,4.302
184,4.246
185,4.373
186,4.579
187,4.627
188,4.651
189,5.056
190,5.365
191,5.468
192,5.659
193,5.817
194,6.222
195,6.484
196,6.548
197,6.722
198,7.095
199,7.421
200,7.563
201,7.556
202,7.984
203,8.389
204,8.349
205,8.571
206,9.111
207,8.841
208,8.841
209,8.984
210,8.937
211,8.937
212,8.913
213,8.968
214,8.865
215,8.571
216,8.556
217,8.103
218,8.286
219,7.690
220,7.762
221,7.579
222,7.508
223,7.190
224,6.841
225,6.817
226,6.294
227,6.413
228,6.079
229,5.738
230,5.659
231,5.524
232,5.421
233,4.905
234,5.079
235,4.627
236,4.794
237,4.397
238,4.492
239,4.500
240,4.310
241,4.167
242,4.286
243,4.444
244,4.429
245,4.492
246,4.437
247,4.444
248,4.579
249,4.714
250,4.802
251,4.683
252,4.984
253,5.151
254,5.222
255,5.397
256,5.460
257,5.698
258,5.587
259,5.675
260,5.865
261,5.786
262,5.929
263,5.913
264,5.976
265,6.016
266,5.976
267,5.873
268,6.190
269,5.984
270,5.992
271,5.984
272,6.095
273,6.087
274,5.968
275,6.056
276,5.881
277,5.524
278,5.468
279,5.802
280,5.325
281,5.198
282,5.254
283,5.095
284,5.143
285,5.008
286,4.659
287,4.627
288,4.548
289,4.286
290,4.270
291,4.286
292,4.294
293,4.302
294,4.294
295,4.135
296,4.198
297,4.135
298,3.873
299,4.119
300,4.230
301,4.087
302,4.230
303,3.944
304,4.056
305,4.349
306,3.810
307,4.048
308,4.063
309,4.095
310,3.984
311,4.016
312,4.183
313,4.254
314,4.222
315,4.325
316,4.127
317,4.405
318,4.317
319,4.508
320,4.349
321,4.413
322,4.413
323,4.476
324,4.571
325,4.556
326,4.659
327,4.627
328,4.603
329,4.524
330,4.603
331,4.794
332,4.810
333,4.762
334,4.516
335,4.698
336,4.722
337,4.619
338,4.722
339,4.833
340,4.794
341,4.556
342,4.484
343,4.706
344,4.659
345,4.643
346,4.675
347,4.468
348,4.571
349,4.452
350,4.421
351,4.460
352,4.317
353,4.167
354,4.103
355,4.310
356,4.230
357,4.135
358,3.976
359,4.159
360,4.095
361,4.127
362,4.127
363,4.341
364,4.167
365,4.659
366,4.476
367,4.611
368,4.778
369,4.984
370,5.040
371,5.135
372,5.587
373,5.603
374,5.944
375,6.333
376,6.548
377,6.881
378,6.841
379,7.563
380,7.619
381,7.984
382,8.008
383,8.325
384,9.000
385,8.929
386,9.556
387,9.944
388,9.968
389,10.071
390,10.286
391,10.643
392,10.603
393,11.016
394,10.714
395,10.881
396,10.770
397,10.960
398,10.635
399,10.540
400,10.230
401,10.206
402,9.730
403,9.437
404,9.151
405,9.151
406,8.667
407,8.270
408,8.000
409,7.587
410,7.056
411,6.587
412,6.294
413,6.127
414,5.825
415,5.651
416,5.484
417,5.167
418,5.222
419,5.135
420,5.294
421,5.302
422,5.548
423,5.865
424,6.095
425,6.524
426,6.976
427,7.365
428,8.381
429,9.056
430,9.706
431,10.802
432,11.476
433,12.437
434,13.690
435,14.976
436,15.960
437,17.413
438,18.849
439,19.270
440,20.500
441,21.754
442,22.825
443,23.865
444,24.667
445,25.286
446,25.968
447,27.032
448,27.833
449,27.889
450,28.413
451,28.540
452,28.603
453,28.556
454,28.286
455,28.381
456,27.817
457,27.151
458,26.310
459,25.619
460,24.992
461,23.976
462,22.762
463,21.587
464,20.413
465,19.095
466,18.079
467,16.746
468,15.524
469,14.238
470,13.206
471,11.754
472,11.008
473,9.905
474,9.175
475,8.325
476,7.984
477,7.587
478,7.373
479,7.595
480,7.683
481,8.127
482,8.603
483,9.302
484,10.333
485,11.310
486,12.762
487,14.341
488,16.000
489,18.087
490,20.278
491,22.222
492,24.548
493,27.063
494,29.238
495,32.103
496,34.437
497,37.175
498,39.603
499,41.556
500,44.008
501,46.230
502,48.357
503,50.008
504,51.651
505,52.968
506,54.095
507,55.690
508,56.286
509,57.127
510,57.421
511,57.421
512,57.278
513,56.079
514,55.397
515,54.016
516,52.619
517,51.667
518,50.151
519,48.460
520,46.206
521,43.373
522,41.032
523,38.278
524,36.270
525,33.548
526,30.690
527,27.992
528,25.405
529,23.333
530,21.206
531,18.484
532,16.690
533,14.921
534,13.389
535,12.230
536,11.167
537,10.627
538,10.492
539,10.611
540,11.190
541,12.008
542,13.040
543,14.810
544,16.619
545,18.635
546,21.214
547,23.944
548,27.183
549,30.452
550,34.063
551,38.286
552,42.056
553,45.333
554,49.444
555,53.183
556,57.063
557,61.714
558,65.302
559,69.373
560,72.913
561,76.214
562,78.714
563,80.929
564,83.476
565,85.659
566,87.206
567,88.833
568,89.722
569,89.571
570,89.333
571,89.325
572,88.722
573,87.286
574,85.762
575,83.444
576,80.881
577,77.325
578,74.016
579,70.659
580,67.333
581,63.143
582,59.563
583,54.857
584,50.381
585,46.071
586,42.175
587,38.603
588,34.246
589,30.429
590,26.897
591,23.944
592,21.214
593,18.627
594,16.603
595,14.968
596,13.849
597,13.206
598,12.913
599,13.151
600,14.198
601,15.714
602,17.413
603,19.675
604,22.492
605,25.563
606,29.222
607,33.325
608,37.937
609,42.857
610,47.635
611,52.286
612,57.881
613,63.135
614,68.579
615,73.913
616,79.333
617,84.595
618,89.008
619,94.246
620,99.071
621,103.000
622,106.016
623,109.365
624,111.746
625,114.151
626,115.722
627,117.016
628,117.071
629,117.317
630,115.984
631,114.508
632,113.135
633,110.437
634,107.675
635,104.492
636,100.706
637,96.603
638,92.421
639,86.889
640,81.968
641,75.746
642,70.310
643,64.913
644,59.508
645,54.151
646,48.960
647,43.825
648,38.984
649,34.302
650,30.119
651,26.532
652,23.103
653,20.056
654,17.683
655,16.183
656,15.024
657,14.500
658,14.857
659,15.246
660,16.190
661,18.206
662,20.437
663,23.357
664,26.524
665,30.222
666,34.437
667,38.841
668,43.746
669,48.913
670,54.429
671,59.460
672,65.278
673,71.032
674,76.159
675,81.556
676,87.087
677,92.317
678,96.968
679,101.659
680,106.254
681,109.254
682,113.079
683,114.825
684,117.833
685,118.476
686,119.468
687,120.817
688,120.825
689,119.468
690,118.270
691,115.706
692,113.071
693,111.151
694,107.881
695,103.111
696,99.032
697,94.992
698,90.024
699,84.198
700,78.492
701,72.794
702,67.468
703,61.683
704,55.960
705,50.683
706,45.333
707,40.254
708,35.532
709,31.810
710,27.619
711,23.627
712,20.889
713,18.619
714,16.460
715,15.690
716,14.730
717,14.873
718,15.143
719,16.357
720,18.071
721,19.952
722,22.738
723,26.365
724,30.262
725,34.381
726,38.770
727,44.262
728,49.317
729,54.349
730,59.841
731,65.103
732,71.135
733,77.040
734,82.135
735,87.381
736,92.810
737,96.556
738,100.476
739,105.841
740,108.952
741,112.373
742,115.032
743,116.079
744,117.976
745,118.698
746,119.278
747,118.310
748,117.413
749,116.341
750,114.262
751,111.857
752,108.635
753,105.651
754,101.254
755,96.341
756,91.937
757,86.849
758,81.810
759,76.651
760,71.167
761,65.921
762,60.373
763,54.548
764,49.341
765,44.365
766,39.317
767,34.841
768,30.611
769,26.937
770,23.635
771,20.516
772,18.183
773,16.508
774,15.040
775,14.056
776,13.937
777,13.841
778,14.540
779,15.659
780,17.468
781,19.683
782,21.968
783,24.952
784,28.135
785,31.619
786,35.389
787,39.421
788,43.206
789,47.452
790,52.032
791,56.389
792,60.627
793,64.944
794,69.246
795,72.802
796,76.143
797,79.468
798,82.222
799,85.151
800,87.206
801,89.071
802,90.627
803,91.024
804,91.508
805,91.619
806,91.548
807,90.389
808,88.968
809,86.778
810,84.675
811,82.786
812,79.794
813,76.770
814,73.143
815,70.127
816,65.825
817,61.762
818,57.841
819,54.040
820,49.722
821,45.246
822,41.516
823,37.579
824,33.889
825,30.286
826,27.198
827,23.778
828,21.127
829,18.738
830,16.738
831,14.619
832,13.190
833,12.111
834,11.421
835,11.024
836,11.008
837,11.714
838,12.452
839,13.476
840,14.976
841,15.992
842,18.548
843,20.135
844,22.508
845,25.103
846,27.397
847,30.143
848,32.667
849,35.468
850,38.381
851,40.905
852,43.516
853,45.786
854,47.960
855,50.302
856,52.040
857,54.175
858,55.611
859,56.794
860,57.722
861,58.468
862,58.857
863,58.532
864,58.563
865,58.214
866,57.690
867,56.913
868,55.865
869,54.698
870,52.698
871,50.889
872,48.833
873,46.389
874,44.460
875,41.754
876,39.175
877,37.151
878,34.770
879,32.198
880,29.651
881,26.952
882,24.714
883,22.690
884,20.524
885,18.405
886,16.603
