Distance_(pixels),Gray_Value
0,105.000
1,12.908
2,12.941
3,12.967
4,13.020
5,12.737
6,13.007
7,12.901
8,13.079
9,13.026
10,13.289
11,13.112
12,12.987
13,13.053
14,12.987
15,12.901
16,13.105
17,13.092
18,12.967
19,13.033
20,12.882
21,13.000
22,12.895
23,13.007
24,12.895
25,13.145
26,13.099
27,12.914
28,12.947
29,13.211
30,12.829
31,13.125
32,12.941
33,13.020
34,13.336
35,13.046
36,13.046
37,12.993
38,12.822
39,12.711
40,12.816
41,12.803
42,13.059
43,12.921
44,13.132
45,13.178
46,13.197
47,13.007
48,13.125
49,13.099
50,13.066
51,12.763
52,13.197
53,12.717
54,12.836
55,12.770
56,12.645
57,13.257
58,12.961
59,12.816
60,12.711
61,12.743
62,12.763
63,12.711
64,13.013
65,12.724
66,13.072
67,12.572
68,12.592
69,12.875
70,12.882
71,12.586
72,12.638
73,12.632
74,12.789
75,12.691
76,12.553
77,12.539
78,12.638
79,12.763
80,12.849
81,12.533
82,12.822
83,12.566
84,12.421
85,12.566
86,12.645
87,12.737
88,12.553
89,12.592
90,12.474
91,12.789
92,12.730
93,12.625
94,12.678
95,12.474
96,12.572
97,12.454
98,12.730
99,12.684
100,12.671
101,12.322
102,12.592
103,12.664
104,12.408
105,12.493
106,12.283
107,12.283
108,12.362
109,12.559
110,12.349
111,12.039
112,12.467
113,12.138
114,12.178
115,12.336
116,12.263
117,12.178
118,12.151
119,12.368
120,12.151
121,12.368
122,12.026
123,11.947
124,11.987
125,12.099
126,11.980
127,12.007
128,11.980
129,12.132
130,11.711
131,12.013
132,11.967
133,11.724
134,11.789
135,12.099
136,11.980
137,11.980
138,11.711
139,11.882
140,11.770
141,11.789
142,11.711
143,11.914
144,11.928
145,11.730
146,11.783
147,11.612
148,11.743
149,11.671
150,11.750
151,11.711
152,11.697
153,11.711
154,11.612
155,11.743
156,11.789
157,11.664
158,11.849
159,11.539
160,11.599
161,11.678
162,11.625
163,11.664
164,11.559
165,11.691
166,11.599
167,11.658
168,11.664
169,11.572
170,11.500
171,11.428
172,11.645
173,11.566
174,11.592
175,11.651
176,11.704
177,11.408
178,11.664
179,11.803
180,11.842
181,11.664
182,11.803
183,11.783
184,11.750
185,11.684
186,11.651
187,11.539
188,11.533
189,11.803
190,11.618
191,11.678
192,11.658
193,11.559
194,11.704
195,11.724
196,11.539
197,11.625
198,11.586
199,11.796
200,11.684
201,11.388
202,11.566
203,11.586
204,11.645
205,11.717
206,11.651
207,11.355
208,11.362
209,11.809
210,11.789
211,11.849
212,11.526
213,11.730
214,12.020
215,11.730
216,12.059
217,11.586
218,12.013
219,11.711
220,12.039
221,11.803
222,12.059
223,12.132
224,12.026
225,12.033
226,12.086
227,12.164
228,12.099
229,12.033
230,12.013
231,12.270
232,12.197
233,12.164
234,12.329
235,12.086
236,12.553
237,12.309
238,12.507
239,12.632
240,12.625
241,12.441
242,12.651
243,12.855
244,12.730
245,12.875
246,12.757
247,12.730
248,12.803
249,12.829
250,13.046
251,12.875
252,12.776
253,13.118
254,13.243
255,13.454
256,13.447
257,13.158
258,13.434
259,13.322
260,13.526
261,13.303
262,13.822
263,13.507
264,13.539
265,13.586
266,13.599
267,13.664
268,13.895
269,13.974
270,14.033
271,13.849
272,14.118
273,14.132
274,14.125
