Distance_(pixels),Gray_Value
0,105.000
1,2.994
2,3.183
3,3.195
4,3.136
5,3.237
6,3.201
7,3.207
8,3.118
9,3.136
10,3.195
11,3.278
12,3.254
13,3.266
14,3.278
15,3.296
16,3.284
17,3.166
18,3.231
19,3.201
20,3.337
21,3.260
22,3.260
23,3.237
24,3.361
25,3.308
26,3.343
27,3.231
28,3.166
29,3.391
30,3.331
31,3.243
32,3.302
33,3.331
34,3.391
35,3.325
36,3.373
37,3.325
38,3.178
39,3.225
40,3.331
41,3.243
42,3.243
43,3.349
44,3.432
45,3.314
46,3.373
47,3.385
48,3.414
49,3.308
50,3.438
51,3.337
52,3.349
53,3.231
54,3.355
55,3.391
56,3.207
57,3.497
58,3.414
59,3.343
60,3.379
61,3.379
62,3.237
63,3.462
64,3.462
65,3.426
66,3.432
67,3.296
68,3.414
69,3.408
70,3.503
71,3.391
72,3.379
73,3.450
74,3.414
75,3.408
76,3.432
77,3.314
78,3.402
79,3.284
80,3.396
81,3.385
82,3.450
83,3.450
84,3.331
85,3.420
86,3.373
87,3.396
88,3.497
89,3.438
90,3.402
91,3.444
92,3.408
93,3.355
94,3.408
95,3.314
96,3.367
97,3.254
98,3.444
99,3.343
100,3.379
101,3.373
102,3.349
103,3.225
104,3.325
105,3.420
106,3.249
107,3.296
108,3.396
109,3.314
110,3.284
111,3.266
112,3.290
113,3.207
114,3.314
115,3.284
116,3.308
117,3.213
118,3.349
119,3.343
120,3.337
121,3.379
122,3.284
123,3.290
124,3.266
125,3.195
126,3.172
127,3.207
128,3.343
129,3.231
130,3.225
131,3.260
132,3.207
133,3.130
134,3.036
135,3.284
136,3.231
137,3.124
138,3.219
139,3.189
140,3.077
141,3.231
142,3.047
143,3.130
144,3.160
145,3.112
146,3.142
147,3.083
148,3.077
149,3.036
150,3.095
151,3.095
152,3.130
153,3.077
154,3.041
155,3.136
156,3.101
157,3.047
158,3.012
159,3.095
160,3.083
161,2.988
162,2.947
163,3.041
164,2.935
165,2.982
166,2.858
167,3.024
168,2.970
169,2.864
170,2.935
171,2.953
172,2.947
173,2.917
174,2.959
175,2.953
176,2.941
177,2.976
178,2.976
179,2.888
180,2.994
181,2.870
182,2.964
183,2.911
184,2.811
185,2.899
186,2.793
187,2.811
188,2.799
189,2.893
190,2.929
191,2.905
192,2.793
193,2.840
194,2.870
195,2.982
196,2.870
197,2.775
198,2.822
199,2.953
200,2.763
201,2.704
202,2.822
