Distance_(pixels),Gray_Value
0,5.531
1,5.630
2,5.717
3,5.890
4,5.760
5,5.783
6,5.815
7,5.823
8,5.819
9,5.843
10,5.827
11,5.862
12,5.953
13,5.921
14,5.882
15,5.921
16,5.819
17,5.795
18,5.862
19,6.012
20,5.988
21,5.957
22,5.957
23,5.846
24,5.882
25,5.858
26,5.941
27,6.012
28,6.031
29,6.039
30,5.933
31,5.850
32,5.929
33,5.976
34,5.925
35,5.807
36,5.622
37,5.476
38,5.429
39,5.406
40,5.654
41,5.689
42,5.539
43,5.224
44,5.114
45,5.154
46,5.114
47,5.142
48,5.024
49,5.024
50,5.083
51,5.102
52,5.039
53,4.913
54,4.693
55,4.528
56,4.563
57,4.539
58,4.563
59,4.469
60,4.268
61,4.256
62,4.154
63,4.193
64,4.224
65,4.272
66,4.268
67,4.295
68,4.236
69,4.248
70,4.232
71,4.272
72,4.169
73,4.098
74,4.075
75,4.098
76,4.094
77,4.059
78,3.921
79,3.890
80,3.965
81,4.031
82,4.102
83,4.071
84,4.047
85,4.047
86,4.161
87,4.154
88,4.004
89,3.882
90,3.894
91,4.035
92,4.201
93,4.228
94,3.874
95,3.787
96,3.850
97,3.972
98,3.976
99,3.992
100,4.063
101,4.051
102,3.961
103,3.976
104,3.913
105,4.051
106,4.106
107,4.146
108,4.240
109,4.232
110,4.161
111,4.232
112,4.224
113,4.217
114,4.094
115,4.083
116,4.228
117,4.370
118,4.307
119,4.327
120,4.346
121,4.374
122,4.335
123,4.319
124,4.272
125,4.402
126,4.339
127,4.331
128,4.402
129,4.496
130,4.512
131,4.488
132,4.492
133,4.539
134,4.630
135,4.650
136,4.618
137,4.587
138,4.594
139,4.567
140,4.539
141,4.547
142,4.512
143,4.551
144,4.657
145,4.807
146,4.819
147,4.803
148,4.835
149,4.638
150,4.512
151,4.575
152,4.618
153,4.654
154,4.720
155,4.693
156,4.606
157,4.531
158,4.638
159,4.626
160,4.705
161,4.752
162,4.748
163,4.654
164,4.630
165,4.461
166,4.390
167,4.492
168,4.571
169,4.681
170,4.567
171,4.547
172,4.594
173,4.610
174,4.583
175,4.539
176,4.441
177,4.421
178,4.484
179,4.480
180,4.354
181,4.331
182,4.260
183,4.370
184,4.370
185,4.335
186,4.272
187,4.244
188,4.091
189,4.071
190,4.134
191,4.201
192,4.260
193,4.240
194,4.185
195,4.150
196,4.087
197,3.921
198,3.815
199,3.921
200,4.083
201,4.134
202,4.079
203,3.980
204,3.992
205,4.004
206,4.075
207,4.102
208,4.213
209,4.126
210,4.102
211,4.366
212,4.602
213,4.480
214,4.378
215,4.433
216,4.528
217,4.622
218,4.709
219,4.839
220,4.957
221,4.945
222,4.969
223,5.020
224,5.114
225,5.374
226,5.583
227,5.524
228,5.591
229,5.744
230,5.839
231,6.138
232,6.240
233,6.413
234,6.520
235,6.657
236,6.724
237,6.717
238,6.760
239,7.134
240,7.461
241,7.559
242,7.602
243,7.732
244,7.886
245,7.976
246,7.972
247,8.106
248,8.291
249,8.705
250,8.831
251,8.815
252,8.882
253,9.189
254,9.484
255,9.760
256,9.819
257,9.858
258,9.870
259,9.866
260,9.984
261,10.055
262,10.181
263,10.299
264,10.465
265,10.559
266,10.606
267,10.807
268,10.823
269,10.787
270,10.571
271,10.646
272,10.681
273,10.701
274,10.705
275,10.764
276,10.736
277,10.657
278,10.421
279,10.354
280,10.331
281,10.173
282,10.142
283,10.063
284,9.953
285,9.724
286,9.547
287,9.346
288,9.276
289,9.051
290,9.035
291,9.004
292,8.870
293,8.618
294,8.437
295,8.154
296,8.051
297,7.921
298,7.760
299,7.642
300,7.280
301,7.059
302,6.811
303,6.551
304,6.358
305,6.248
306,6.181
307,6.079
308,5.941
309,5.839
310,5.622
311,5.535
312,5.547
313,5.429
314,5.201
315,5.118
316,5.126
317,5.181
318,5.154
319,5.102
320,5.138
321,5.236
322,5.220
323,5.295
324,5.406
325,5.449
326,5.657
327,5.787
328,5.909
329,5.988
330,6.146
331,6.417
332,6.591
333,6.831
334,7.020
335,7.224
336,7.598
337,8.236
338,8.657
339,8.917
340,9.114
341,9.567
342,10.094
343,10.606
344,11.008
345,11.272
346,11.693
347,12.280
348,12.815
349,13.433
350,14.106
351,14.772
352,15.150
353,15.768
354,16.437
355,17.134
356,17.894
357,18.571
358,18.933
359,19.067
360,19.528
361,20.181
362,20.819
363,21.370
364,21.980
365,22.528
366,23.075
367,23.531
368,23.941
369,24.339
370,24.575
371,24.858
372,25.268
373,25.673
374,26.209
375,26.720
376,27.169
377,27.390
378,27.441
379,27.535
380,27.768
381,27.969
382,28.094
383,28.134
384,28.177
385,28.154
386,28.122
387,28.114
388,27.945
389,27.902
390,27.917
391,27.965
392,27.693
393,27.390
394,27.106
395,26.681
396,26.232
397,25.890
398,25.516
399,25.181
400,24.886
401,24.516
402,24.008
403,23.465
404,22.823
405,22.248
406,21.626
407,21.043
408,20.469
409,19.894
410,19.213
411,18.673
412,18.091
413,17.602
414,16.858
415,16.287
416,15.665
417,15.067
418,14.449
419,13.878
420,13.240
421,12.768
422,12.012
423,11.472
424,10.917
425,10.650
426,10.098
427,9.661
428,9.272
429,8.902
430,8.374
431,8.130
432,7.898
433,7.787
434,7.539
435,7.437
436,7.307
437,7.307
438,7.406
439,7.465
440,7.457
441,7.598
442,7.823
443,8.016
444,8.323
445,8.646
446,9.063
447,9.421
448,10.063
449,10.453
450,10.917
451,11.492
452,12.280
453,13.028
454,13.811
455,14.567
456,15.504
457,16.331
458,17.469
459,18.528
460,19.587
461,20.587
462,21.598
463,22.583
464,23.862
465,24.949
466,26.264
467,27.339
468,28.441
469,29.732
470,31.228
471,32.390
472,33.689
473,34.902
474,36.260
475,37.504
476,38.799
477,39.764
478,40.740
479,41.827
480,43.024
481,44.157
482,45.335
483,46.378
484,47.398
485,48.299
486,49.154
487,50.012
488,50.799
489,51.472
490,52.043
491,52.551
492,53.268
493,54.000
494,54.795
495,55.134
496,55.449
497,55.854
498,56.197
499,56.528
500,56.555
501,56.602
502,56.579
503,56.524
504,56.382
505,55.976
506,55.358
507,54.866
508,54.555
509,53.988
510,53.248
511,52.492
512,51.835
513,51.520
514,50.980
515,50.311
516,49.378
517,48.626
518,47.846
519,46.728
520,45.539
521,44.031
522,42.618
523,41.453
524,40.327
525,39.000
526,37.638
527,36.622
528,35.606
529,34.354
530,33.028
531,31.516
532,30.134
533,28.764
534,27.441
535,26.146
536,24.917
537,23.890
538,22.870
539,21.815
540,20.661
541,19.303
542,18.051
543,17.118
544,16.260
545,15.421
546,14.579
547,13.701
548,13.075
549,12.500
550,11.996
551,11.319
552,10.961
553,10.650
554,10.374
555,10.343
556,10.327
557,10.327
558,10.528
559,10.780
560,11.094
561,11.567
562,11.953
563,12.480
564,13.134
565,13.976
566,14.823
567,15.772
568,16.642
569,17.634
570,18.705
571,19.984
572,21.272
573,22.713
574,24.114
575,25.665
576,27.358
577,28.988
578,30.622
579,32.469
580,34.374
581,36.528
582,38.516
583,40.476
584,42.028
585,43.748
586,45.496
587,47.551
588,49.524
589,51.492
590,53.150
591,55.220
592,57.280
593,59.634
594,61.583
595,63.516
596,65.350
597,67.378
598,69.295
599,71.126
600,72.760
601,74.390
602,75.819
603,77.071
604,78.094
605,79.323
606,80.433
607,81.736
608,82.819
609,84.031
610,84.913
611,85.661
612,86.433
613,87.272
614,87.913
615,88.311
616,88.461
617,88.280
618,88.169
619,88.008
620,88.055
621,88.043
622,87.972
623,87.555
624,87.004
625,86.283
626,85.622
627,84.713
628,83.783
629,82.626
630,81.421
631,80.051
632,78.524
633,76.646
634,75.039
635,73.323
636,71.717
637,70.071
638,68.386
639,66.642
640,64.780
641,62.685
642,60.894
643,59.028
644,56.929
645,54.559
646,52.248
647,49.957
648,47.878
649,45.724
650,43.732
651,41.799
652,40.118
653,38.228
654,36.154
655,34.039
656,32.039
657,30.169
658,28.343
659,26.638
660,25.083
661,23.701
