Distance_(pixels),Gray_Value
0,2.570
1,2.664
2,2.664
3,2.773
4,2.664
5,2.711
6,2.750
7,2.891
8,2.742
9,2.602
10,2.734
11,2.797
12,2.766
13,2.664
14,2.875
15,2.641
16,2.672
17,2.758
18,2.812
19,2.734
20,2.867
21,2.875
22,2.828
23,2.805
24,2.898
25,2.961
26,2.906
27,2.922
28,3.000
29,2.969
30,2.945
31,2.969
32,3.070
33,3.031
34,3.164
35,3.234
36,3.328
37,3.422
38,3.508
39,3.641
40,3.602
41,3.703
42,3.633
43,3.828
44,3.781
45,4.094
46,4.039
47,4.016
48,4.352
49,4.273
50,4.297
51,4.164
52,4.477
53,4.469
54,4.508
55,4.508
56,4.531
57,4.438
58,4.445
59,4.516
60,4.531
61,4.578
62,4.539
63,4.594
64,4.477
65,4.648
66,4.578
67,4.688
68,4.539
69,4.586
70,4.547
71,4.617
72,4.664
73,4.695
74,4.609
75,4.305
76,4.414
77,4.508
78,4.578
79,4.578
80,4.422
81,4.562
82,4.500
83,4.602
84,4.570
85,4.641
86,4.688
87,4.586
88,4.820
89,4.789
90,4.961
91,5.086
92,5.078
93,5.141
94,5.273
95,5.203
96,5.359
97,5.375
98,5.430
99,5.469
100,5.648
101,5.734
102,5.883
103,5.938
104,5.930
105,6.195
106,6.219
107,6.055
108,6.438
109,6.438
110,6.586
111,6.539
112,6.508
113,6.656
114,6.734
115,6.594
116,6.602
117,6.680
118,6.695
119,6.633
120,6.547
121,6.633
122,6.484
123,6.352
124,6.289
125,6.305
126,6.164
127,6.125
128,6.219
129,6.039
130,5.938
131,5.828
132,5.805
133,5.797
134,5.789
135,5.758
136,5.742
137,5.672
138,5.711
139,5.547
140,5.555
141,5.734
142,5.828
143,5.633
144,5.570
145,5.695
146,5.727
147,5.734
148,5.891
149,5.922
150,5.953
151,5.898
152,5.969
153,5.992
154,6.203
155,6.258
156,6.406
157,6.562
158,6.406
159,6.516
160,6.578
161,6.875
162,6.906
163,6.969
164,7.086
165,7.203
166,7.164
167,7.180
168,7.156
169,7.312
170,7.102
171,7.227
172,7.188
173,7.305
174,7.141
175,6.930
176,6.922
177,6.773
178,6.805
179,6.797
180,6.656
181,6.414
182,6.422
183,6.453
184,6.555
185,6.180
186,6.000
187,6.047
188,5.859
189,5.750
190,5.703
191,5.602
192,5.672
193,5.570
194,5.570
195,5.695
196,5.352
197,5.500
198,5.547
199,5.281
200,5.305
201,5.305
202,5.461
203,5.438
204,5.281
205,5.352
206,5.508
207,5.328
208,5.312
209,5.430
210,5.539
211,5.703
212,5.555
213,5.414
214,5.461
215,5.500
216,5.555
217,5.484
218,5.547
219,5.500
220,5.602
221,5.633
222,5.625
223,5.664
224,5.539
225,5.547
226,5.594
227,5.688
228,5.570
229,5.547
230,5.602
231,5.516
232,5.484
233,5.312
234,5.367
235,5.297
236,5.195
237,5.070
238,5.164
239,4.898
240,4.961
241,4.875
242,4.609
243,4.602
244,4.594
245,4.516
246,4.336
247,4.266
248,4.078
249,4.094
250,4.000
251,3.945
252,3.852
253,3.797
254,3.812
255,3.719
256,3.438
257,3.703
258,3.625
259,3.438
260,3.492
261,3.523
262,3.609
263,3.586
264,3.406
265,3.430
266,3.383
267,3.406
268,3.328
269,3.250
270,3.281
271,3.430
272,3.609
273,3.469
274,3.516
275,3.430
276,3.438
277,3.484
278,3.359
279,3.492
280,3.594
281,3.594
282,3.398
283,3.641
284,3.438
285,3.359
286,3.320
287,3.383
288,3.453
289,3.406
290,3.367
291,3.297
292,3.453
293,3.250
294,3.219
295,3.211
296,3.102
297,2.969
298,3.062
299,2.930
300,2.984
301,2.891
302,2.945
303,2.805
304,2.914
305,2.797
306,2.766
307,2.641
308,2.664
309,2.703
310,2.828
311,2.586
312,2.836
313,2.797
314,2.680
315,2.820
316,2.664
317,2.719
318,2.812
319,2.984
320,2.852
321,2.766
322,2.766
323,3.000
324,3.094
325,3.070
326,3.203
327,3.273
328,3.180
329,3.297
330,3.422
331,3.523
332,3.703
333,3.641
334,3.891
335,3.961
336,3.914
337,4.211
338,4.297
339,4.297
340,4.297
341,4.422
342,4.539
343,4.633
344,4.773
345,4.766
346,4.883
347,4.961
348,5.133
349,5.086
350,5.258
351,5.477
352,5.477
353,5.414
354,5.562
355,5.680
356,5.758
357,5.672
358,5.836
359,5.719
360,5.758
361,6.016
362,5.906
363,6.062
364,5.930
365,5.945
366,6.047
367,6.000
368,6.016
369,6.117
370,6.297
371,6.234
372,6.406
373,6.523
374,6.531
375,6.336
376,6.734
377,6.898
378,6.969
379,7.117
380,7.281
381,7.648
382,7.891
383,8.312
384,8.461
385,8.672
386,8.922
387,9.367
388,9.828
389,10.164
390,10.625
391,11.023
392,11.273
393,11.750
394,12.141
395,12.508
396,12.664
397,13.172
398,13.703
399,14.164
400,14.484
401,14.625
402,15.023
403,15.258
404,15.570
405,16.016
406,16.203
407,16.328
408,16.539
409,16.781
410,16.992
411,17.188
412,17.188
413,17.359
414,17.758
415,17.578
416,17.609
417,17.508
418,17.406
419,17.570
420,17.438
421,17.312
422,17.570
423,17.445
424,17.164
425,17.242
426,17.430
427,17.484
428,17.336
429,17.555
430,17.375
431,17.586
432,17.812
433,18.016
434,18.164
435,18.562
436,18.742
437,19.070
438,19.500
439,19.805
440,20.617
441,21.188
442,21.672
443,22.273
444,23.125
445,23.688
446,24.422
447,25.023
448,26.141
449,26.922
450,27.883
451,28.789
452,29.727
453,30.625
454,31.227
455,32.133
456,32.914
457,33.562
458,34.422
459,35.078
460,35.844
461,36.547
462,37.086
463,37.602
464,38.070
465,38.266
466,38.820
467,39.375
468,39.336
469,39.547
470,39.617
471,39.570
472,39.867
473,39.688
474,39.453
475,39.195
476,38.875
477,38.820
478,38.586
479,38.352
480,38.484
481,38.516
482,38.086
483,37.711
484,37.398
485,37.312
486,37.562
487,37.320
488,37.273
489,36.992
490,37.227
491,37.758
492,37.922
493,38.484
494,38.672
495,39.477
496,40.016
497,40.430
498,41.383
499,42.477
500,43.359
501,44.547
502,45.719
503,47.383
504,48.750
505,49.594
506,51.242
507,52.781
508,53.930
509,55.547
510,57.336
511,58.477
512,60.023
513,62.109
514,63.117
515,63.781
516,65.289
517,66.719
518,67.539
519,68.312
520,69.383
521,70.266
522,70.523
523,71.109
524,71.898
525,72.258
526,72.328
527,72.117
528,72.102
529,71.789
530,71.086
531,70.594
532,70.367
533,69.383
534,68.977
535,68.508
536,67.344
537,66.266
538,65.641
539,64.648
540,64.203
541,63.430
542,63.109
543,62.445
544,61.633
545,60.742
546,60.781
547,60.445
548,60.492
549,60.547
550,60.633
551,61.047
552,61.391
553,61.812
554,62.859
555,64.109
556,65.188
557,66.055
558,67.359
559,68.805
560,70.039
561,71.445
562,73.422
563,75.500
564,77.188
565,79.000
566,80.562
567,82.375
568,83.953
569,86.156
570,88.656
571,90.023
572,91.000
573,92.281
574,94.008
575,95.492
576,96.789
577,97.727
578,98.547
579,99.617
580,100.211
581,100.008
582,100.047
583,100.242
584,100.125
585,99.930
586,99.578
587,98.797
588,98.156
589,97.141
590,95.695
591,95.062
592,94.477
593,93.055
594,91.438
595,90.281
596,89.172
597,87.594
598,86.266
599,84.891
600,83.867
601,83.141
602,81.867
603,81.375
604,80.625
605,79.578
606,78.742
607,78.859
608,78.633
609,78.438
610,78.164
611,78.516
612,79.258
613,80.141
614,80.820
615,81.805
616,82.992
617,84.625
618,86.008
619,87.469
620,89.086
621,90.523
622,92.242
623,93.859
624,95.633
625,98.000
626,99.734
627,101.164
628,103.070
629,104.789
630,106.203
631,108.203
632,109.742
633,111.477
634,112.227
635,112.750
636,113.594
637,114.367
638,114.414
639,115.062
640,115.195
641,113.922
642,113.367
643,113.117
644,112.375
645,111.586
646,110.531
647,109.062
648,107.172
649,105.922
650,104.680
651,102.930
652,100.891
653,99.258
654,97.773
655,96.008
656,94.031
657,92.289
658,90.562
659,89.422
660,87.789
661,86.656
662,85.367
663,84.336
664,83.227
665,82.461
666,81.922
667,81.617
668,81.750
669,81.898
670,81.852
671,82.305
672,82.766
673,83.461
674,84.289
675,86.453
676,87.109
677,88.906
678,90.688
679,92.461
680,94.047
681,95.781
682,97.180
683,98.938
684,101.492
685,103.141
686,104.609
687,106.188
688,107.352
689,109.117
690,111.281
691,112.180
692,112.734
693,113.234
694,114.336
695,114.828
696,115.438
697,115.383
698,115.758
699,115.578
700,115.125
701,114.125
702,112.703
703,111.938
704,111.133
705,109.617
706,107.836
707,106.281
708,105.242
709,103.250
710,100.953
711,99.148
712,97.234
713,95.734
714,94.195
715,92.586
716,90.758
717,88.898
718,87.070
719,86.141
720,85.109
721,84.211
722,83.398
723,81.992
724,81.008
725,80.969
726,81.172
727,80.773
728,80.422
729,80.703
730,81.234
731,82.414
732,83.031
733,84.219
734,85.508
735,85.734
736,87.172
737,88.398
738,89.867
739,91.406
740,92.820
741,94.531
742,96.250
743,97.305
744,98.602
745,99.555
746,100.992
747,102.133
748,103.398
749,103.391
750,104.195
751,104.930
752,105.406
753,105.703
754,105.758
755,105.461
756,104.766
757,104.500
758,103.539
759,102.367
760,101.156
761,100.242
762,98.977
763,97.367
764,95.656
765,93.664
766,91.703
767,89.711
768,87.359
769,85.609
770,84.023
771,82.023
772,79.781
773,78.445
774,76.352
775,74.289
776,73.070
777,71.539
778,70.055
779,68.641
780,67.688
781,66.617
782,65.500
783,64.883
784,64.508
785,64.352
786,64.000
787,64.047
788,63.914
789,63.547
790,64.281
791,64.906
792,65.391
793,66.039
794,67.016
795,67.914
796,68.664
797,69.039
798,70.289
799,71.469
800,72.352
801,72.969
802,74.250
803,74.953
804,75.508
805,75.844
806,75.852
807,76.344
808,76.797
809,77.148
810,76.938
811,76.789
812,76.344
813,75.914
814,75.727
815,75.258
816,74.539
817,73.633
818,72.523
819,71.133
820,69.422
821,68.484
822,67.375
823,65.633
824,64.539
825,62.828
826,60.828
827,59.547
828,57.812
829,56.359
830,54.570
831,52.812
832,51.633
833,50.367
834,48.758
835,47.492
836,46.578
837,45.516
838,44.508
839,43.633
840,42.742
841,42.094
842,41.453
843,41.086
