Distance_(pixels),Gray_Value
0,160.000
1,105.000
2,3.106
3,3.219
4,3.331
5,3.181
6,3.119
7,3.294
8,3.237
9,3.244
10,3.213
11,3.206
12,3.412
13,3.281
14,3.306
15,3.312
16,3.275
17,3.412
18,3.219
19,3.169
20,3.281
21,3.356
22,3.362
23,3.306
24,3.287
25,3.319
26,3.331
27,3.344
28,3.350
29,3.263
30,3.412
31,3.412
32,3.400
33,3.425
34,3.431
35,3.369
36,3.400
37,3.431
38,3.369
39,3.319
40,3.338
41,3.463
42,3.431
43,3.294
44,3.469
45,3.519
46,3.463
47,3.463
48,3.375
49,3.525
50,3.362
51,3.481
52,3.469
53,3.506
54,3.375
55,3.419
56,3.569
57,3.338
58,3.594
59,3.456
60,3.406
61,3.525
62,3.513
63,3.388
64,3.475
65,3.531
66,3.481
67,3.425
68,3.419
69,3.438
70,3.431
71,3.594
72,3.519
73,3.531
74,3.519
75,3.550
76,3.606
77,3.600
78,3.513
79,3.506
80,3.431
81,3.519
82,3.531
83,3.575
84,3.575
85,3.388
86,3.588
87,3.444
88,3.619
89,3.612
90,3.562
91,3.494
92,3.575
93,3.544
94,3.562
95,3.431
96,3.556
97,3.475
98,3.375
99,3.606
100,3.469
101,3.550
102,3.519
103,3.550
104,3.388
105,3.444
106,3.469
107,3.506
108,3.487
109,3.400
110,3.625
111,3.525
112,3.506
113,3.500
114,3.431
115,3.581
116,3.431
117,3.456
118,3.500
119,3.438
120,3.500
121,3.475
122,3.456
123,3.300
124,3.562
125,3.425
126,3.556
127,3.444
128,3.388
129,3.419
130,3.500
131,3.456
132,3.425
133,3.375
134,3.388
135,3.263
136,3.463
137,3.525
138,3.394
139,3.325
140,3.375
141,3.375
142,3.281
143,3.331
144,3.394
145,3.406
146,3.287
147,3.369
148,3.219
149,3.438
150,3.344
151,3.331
152,3.281
153,3.350
154,3.325
155,3.200
156,3.281
157,3.400
158,3.275
159,3.350
160,3.331
161,3.400
162,3.338
163,3.225
164,3.263
165,3.269
166,3.225
167,3.100
168,3.300
169,3.131
170,3.119
171,3.194
172,3.200
173,3.213
174,3.156
175,3.237
176,3.106
177,3.206
178,3.237
179,3.225
180,3.213
181,3.169
182,3.213
183,3.294
184,3.100
185,3.131
186,3.175
187,3.125
188,3.131
189,3.162
190,3.112
191,3.300
192,3.200
193,3.062
194,3.169
195,3.200
196,3.300
197,3.181
198,3.119
199,3.162
200,3.281
201,3.094
202,3.125
203,3.175
204,3.231
205,3.250
206,3.138
207,3.256
208,3.125
209,3.225
210,3.194
211,3.213
212,3.175
213,3.150
214,3.200
215,3.381
216,3.175
217,3.294
218,3.150
219,3.306
220,3.213
221,3.188
222,3.219
223,3.281
224,3.281
225,3.256
226,3.344
227,3.213
228,3.388
229,3.381
230,3.194
231,3.412
232,3.375
233,3.456
234,3.369
235,3.344
236,3.287
237,3.356
238,3.362
239,3.475
240,3.450
241,3.500
242,3.425
243,3.469
244,3.600
245,3.575
246,3.506
247,3.631
248,3.506
249,3.625
250,3.619
251,3.812
252,3.675
253,3.713
254,3.719
255,3.669
256,3.831
257,3.800
258,3.906
259,3.838
260,3.975
261,4.012
262,3.894
263,3.950
264,3.963
265,4.094
266,3.987
267,3.975
268,4.062
269,4.213
270,4.238
271,4.356
272,4.200
273,4.338
274,4.312
275,4.500
276,4.613
277,4.631
278,4.469
279,4.500
280,4.594
281,4.581
282,4.713
283,4.706
284,4.894
285,4.831
286,4.919
287,4.931
288,4.956
289,5.062
290,5.175
291,5.194
292,5.156
293,5.363
294,5.381
295,5.406
296,5.444
297,5.613
298,5.494
299,5.613
300,5.900
301,5.856
302,5.931
303,5.944
304,5.950
305,6.125
306,6.325
307,6.231
308,6.281
309,6.425
310,6.519
311,6.494
312,6.694
313,6.713
314,6.894
315,6.919
316,6.944
317,6.950
318,7.219
319,7.275
320,7.444
321,7.369
322,7.381
323,7.681
324,7.562
325,7.594
326,7.863
327,7.881
328,7.956
329,8.169
330,8.137
331,8.306
332,8.469
333,8.531
334,8.656
335,8.587
336,8.663
337,9.031
338,9.056
339,9.019
340,9.244
341,9.344
342,9.319
343,9.600
344,9.619
345,9.769
346,9.812
347,9.956
348,10.113
349,10.156
350,10.325
351,10.387
352,10.762
353,10.719
354,10.738
355,10.956
356,11.137
357,11.350
358,11.488
359,11.681
360,11.663
361,11.894
362,12.044
363,12.163
364,12.469
365,12.488
366,12.769
367,13.031
368,13.050
369,13.262
370,13.438
371,13.363
372,13.800
373,14.038
374,14.125
375,14.356
376,14.600
377,14.869
378,15.012
379,15.106
380,15.312
381,15.600
382,15.725
383,15.762
384,16.156
385,16.538
386,16.706
387,17.163
388,17.019
389,17.337
390,17.219
391,17.831
392,17.944
393,18.150
394,18.337
395,18.525
396,18.931
397,18.981
398,19.506
399,19.781
