Distance_(pixels),Gray_Value
0,3.137
1,3.196
2,3.314
3,3.176
4,3.183
5,3.275
6,3.229
7,3.229
8,3.163
9,3.065
10,3.392
11,3.190
12,3.222
13,3.268
14,3.216
15,3.150
16,3.157
17,3.150
18,3.320
19,3.242
20,3.288
21,3.235
22,3.196
23,3.261
24,3.242
25,3.346
26,3.333
27,3.248
28,3.431
29,3.379
30,3.353
31,3.327
32,3.379
33,3.327
34,3.268
35,3.359
36,3.412
37,3.314
38,3.314
39,3.353
40,3.373
41,3.248
42,3.379
43,3.490
44,3.431
45,3.386
46,3.242
47,3.451
48,3.333
49,3.405
50,3.366
51,3.405
52,3.333
53,3.405
54,3.386
55,3.281
56,3.484
57,3.516
58,3.294
59,3.412
60,3.562
61,3.405
62,3.484
63,3.497
64,3.444
65,3.425
66,3.333
67,3.438
68,3.458
69,3.556
70,3.405
71,3.510
72,3.477
73,3.412
74,3.412
75,3.471
76,3.366
77,3.471
78,3.379
79,3.562
80,3.451
81,3.497
82,3.536
83,3.340
84,3.444
85,3.438
86,3.536
87,3.503
88,3.497
89,3.425
90,3.588
91,3.477
92,3.497
93,3.484
94,3.458
95,3.451
96,3.399
97,3.569
98,3.458
99,3.503
100,3.451
101,3.418
102,3.379
103,3.484
104,3.412
105,3.464
106,3.373
107,3.412
108,3.510
109,3.497
110,3.405
111,3.418
112,3.353
113,3.399
114,3.444
115,3.497
116,3.320
117,3.431
118,3.366
119,3.379
120,3.359
121,3.353
122,3.340
123,3.366
124,3.281
125,3.261
126,3.190
127,3.288
128,3.386
129,3.235
130,3.294
131,3.196
132,3.118
133,3.196
134,3.379
135,3.346
136,3.183
137,3.170
138,3.275
139,3.255
140,3.176
141,3.176
142,3.216
143,3.203
144,3.196
145,3.222
146,3.105
147,3.203
148,3.229
149,3.111
150,3.111
151,3.203
152,3.092
153,3.203
154,3.124
155,3.209
156,3.144
157,3.150
158,3.294
159,3.229
160,3.092
161,3.007
162,3.111
163,3.078
