Distance_(pixels),Gray_Value
0,3.362
1,3.503
2,3.416
3,3.443
4,3.443
5,3.537
6,3.557
7,3.416
8,3.517
9,3.450
10,3.436
11,3.537
12,3.537
13,3.362
14,3.517
15,3.443
16,3.403
17,3.356
18,3.477
19,3.544
20,3.362
21,3.403
22,3.430
23,3.483
24,3.517
25,3.604
26,3.557
27,3.436
28,3.349
29,3.570
30,3.691
31,3.523
32,3.617
33,3.691
34,3.792
35,3.980
36,3.913
37,4.087
38,3.953
39,4.081
40,4.074
41,4.094
42,4.087
43,4.215
44,4.181
45,4.141
46,4.497
47,4.403
48,4.456
49,4.591
50,4.564
51,4.671
52,4.691
53,4.879
54,4.940
55,4.966
56,4.973
57,5.040
58,5.228
59,5.309
60,5.181
61,5.530
62,5.557
63,5.651
64,5.705
65,5.819
66,5.812
67,5.933
68,5.926
69,6.047
70,6.174
71,6.295
72,6.302
73,6.342
74,6.523
75,6.450
76,6.785
77,6.819
78,6.779
79,6.926
80,7.027
81,7.060
82,7.114
83,7.268
84,7.315
85,7.255
86,7.315
87,7.490
88,7.490
89,7.550
90,7.705
91,7.611
92,7.604
93,7.752
94,7.772
95,7.765
96,7.872
97,8.013
98,7.966
99,7.946
100,8.060
101,8.148
102,8.181
103,8.141
104,8.154
105,8.242
106,8.255
107,8.201
108,8.134
109,8.221
110,8.228
111,8.134
112,8.342
113,8.268
114,8.302
115,8.329
116,8.302
117,8.497
118,8.510
119,8.477
120,8.383
121,8.497
122,8.362
123,8.705
124,8.685
125,8.705
126,8.577
127,8.826
128,8.658
129,8.832
130,8.805
131,8.799
132,8.980
133,9.000
134,9.007
135,8.946
136,8.980
137,9.034
138,9.047
139,8.960
140,9.007
141,9.067
142,8.953
143,8.872
144,9.020
145,9.027
146,8.973
147,8.966
148,8.886
149,8.839
150,8.792
151,8.832
152,8.705
153,8.678
154,8.691
155,8.691
156,8.510
157,8.611
158,8.819
159,8.624
160,8.443
161,8.550
162,8.604
163,8.644
164,8.564
165,8.490
166,8.396
167,8.463
168,8.148
169,8.094
170,8.201
171,8.107
172,8.054
173,7.993
174,7.946
175,7.839
176,7.705
177,7.718
178,7.732
179,7.604
180,7.544
181,7.497
182,7.483
183,7.584
184,7.289
185,7.356
186,7.409
187,7.201
188,7.141
189,7.081
190,7.047
191,7.007
192,6.846
193,7.128
194,6.973
195,6.906
196,6.919
197,6.779
198,6.718
199,6.483
200,6.691
201,6.624
202,6.557
203,6.510
