x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-50.00000E-03,+100.50251E-03,+5.70414577E+00,-458.29145E-03,+5.02512567E+00
-49.95000E-03,+80.40201E-03,+5.50314075E+00,-482.41206E-03,+4.62311561E+00
-49.90000E-03,+40.20100E-03,+5.10113069E+00,-490.45226E-03,+4.62311561E+00
-49.85000E-03,+40.20100E-03,+4.49811561E+00,-466.33165E-03,+4.22110556E+00
-49.80000E-03,+40.20100E-03,+4.09610556E+00,-434.17085E-03,+4.02010053E+00
-49.75000E-03,+40.20100E-03,+3.89510053E+00,-426.13065E-03,+4.02010053E+00
-49.70000E-03,+40.20100E-03,+3.49309048E+00,-410.05025E-03,+3.81909551E+00
-49.65000E-03,+40.20100E-03,+3.29208545E+00,-377.88944E-03,+3.61809048E+00
-49.60000E-03,+40.20100E-03,+2.89007540E+00,-369.84924E-03,+3.41708545E+00
-49.55000E-03,+40.20100E-03,+2.68907037E+00,-353.76884E-03,+3.21608043E+00
-49.50000E-03,+40.20100E-03,+2.48806535E+00,-337.68844E-03,+3.01507540E+00
-49.45000E-03,+40.20100E-03,+2.28706032E+00,-329.64824E-03,+3.01507540E+00
-49.40000E-03,+40.20100E-03,+1.88505027E+00,-313.56784E-03,+2.81407037E+00
-49.35000E-03,+40.20100E-03,+1.68404524E+00,-297.48743E-03,+2.81407037E+00
-49.30000E-03,+40.20100E-03,+1.48304021E+00,-281.40703E-03,+2.61306535E+00
-49.25000E-03,+40.20100E-03,+1.28203519E+00,-273.36683E-03,+2.41206032E+00
-49.20000E-03,+40.20100E-03,+1.08103016E+00,-241.20603E-03,+2.41206032E+00
-49.15000E-03,+40.20100E-03,+679.02011E-03,-249.24623E-03,+2.21105529E+00
-49.10000E-03,+40.20100E-03,+478.01508E-03,-233.16583E-03,+2.21105529E+00
-49.05000E-03,+40.20100E-03,+277.01005E-03,-225.12563E-03,+2.01005027E+00
-49.00000E-03,+40.20100E-03,-125.00000E-03,-209.04522E-03,+2.01005027E+00
-48.95000E-03,+40.20100E-03,+76.00503E-03,-209.04522E-03,+1.80904524E+00
-48.90000E-03,+40.20100E-03,-125.00000E-03,-201.00502E-03,+1.80904524E+00
-48.85000E-03,+40.20100E-03,+76.00503E-03,-201.00502E-03,+1.60804021E+00
-48.80000E-03,+40.20100E-03,-125.00000E-03,-192.96482E-03,+1.80904524E+00
-48.75000E-03,+40.20100E-03,-125.00000E-03,-184.92462E-03,+1.40703519E+00
-48.70000E-03,+40.20100E-03,-125.00000E-03,-176.88442E-03,+1.60804021E+00
-48.65000E-03,+40.20100E-03,-527.01005E-03,-168.84422E-03,+1.40703519E+00
-48.60000E-03,+40.20100E-03,-728.01508E-03,-160.80402E-03,+1.40703519E+00
-48.55000E-03,+40.20100E-03,-1.13002513E+00,-152.76382E-03,+1.40703519E+00
-48.50000E-03,+60.30151E-03,-1.13002513E+00,-144.72362E-03,+1.40703519E+00
-48.45000E-03,+40.20100E-03,-1.53203519E+00,-136.68342E-03,+1.20603016E+00
-48.40000E-03,+40.20100E-03,-1.73304021E+00,-144.72362E-03,+1.20603016E+00
-48.35000E-03,+40.20100E-03,-1.93404524E+00,-128.64321E-03,+1.00502513E+00
-48.30000E-03,+40.20100E-03,-2.33605529E+00,-128.64321E-03,+1.00502513E+00
-48.25000E-03,+40.20100E-03,-2.33605529E+00,-120.60301E-03,+1.00502513E+00
-48.20000E-03,+40.20100E-03,-2.53706032E+00,-104.52261E-03,+1.00502513E+00
-48.15000E-03,+40.20100E-03,-2.93907037E+00,-112.56281E-03,+1.00502513E+00
-48.10000E-03,+40.20100E-03,-3.14007540E+00,-96.48241E-03,+804.02011E-03
-48.05000E-03,+40.20100E-03,-3.34108043E+00,-104.52261E-03,+804.02011E-03
-48.00000E-03,+40.20100E-03,-3.74309048E+00,-96.48241E-03,+804.02011E-03
-47.95000E-03,+40.20100E-03,-3.94409551E+00,-96.48241E-03,+804.02011E-03
