x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-50.00000E-03,+60.30151E-03,+5.10113069E+00,+0.0E+00,+18.69346748E+00
-49.95000E-03,+60.30151E-03,+4.69912064E+00,-20.10050E-03,+18.69346748E+00
-49.90000E-03,+40.20100E-03,+4.29711059E+00,-20.10050E-03,+18.69346748E+00
-49.85000E-03,+60.30151E-03,+3.89510053E+00,-20.10050E-03,+18.69346748E+00
-49.80000E-03,+20.10050E-03,+3.49309048E+00,-20.10050E-03,+18.49246246E+00
-49.75000E-03,+40.20100E-03,+3.29208545E+00,-20.10050E-03,+18.69346748E+00
-49.70000E-03,+60.30151E-03,+3.09108043E+00,-20.10050E-03,+18.49246246E+00
-49.65000E-03,+40.20100E-03,+2.68907037E+00,-20.10050E-03,+18.49246246E+00
-49.60000E-03,+40.20100E-03,+2.28706032E+00,-0.0E+00,+18.49246246E+00
-49.55000E-03,+40.20100E-03,+2.28706032E+00,-20.10050E-03,+18.69346748E+00
-49.50000E-03,+60.30151E-03,+2.08605529E+00,-20.10050E-03,+18.69346748E+00
-49.45000E-03,+40.20100E-03,+1.68404524E+00,-20.10050E-03,+18.69346748E+00
-49.40000E-03,+40.20100E-03,+1.48304021E+00,-20.10050E-03,+18.49246246E+00
-49.35000E-03,+40.20100E-03,+1.08103016E+00,-20.10050E-03,+18.69346748E+00
-49.30000E-03,+40.20100E-03,+880.02513E-03,-20.10050E-03,+18.49246246E+00
-49.25000E-03,+40.20100E-03,+679.02011E-03,-20.10050E-03,+18.49246246E+00
-49.20000E-03,+40.20100E-03,+478.01508E-03,-20.10050E-03,+18.69346748E+00
-49.15000E-03,+40.20100E-03,+277.01005E-03,-20.10050E-03,+18.69346748E+00
-49.10000E-03,+40.20100E-03,+76.00503E-03,-20.10050E-03,+18.49246246E+00
-49.05000E-03,+40.20100E-03,-125.00000E-03,-20.10050E-03,+18.69346748E+00
-49.00000E-03,+40.20100E-03,-125.00000E-03,-20.10050E-03,+18.49246246E+00
-48.95000E-03,+60.30151E-03,-125.00000E-03,-20.10050E-03,+18.49246246E+00
-48.90000E-03,+40.20100E-03,-125.00000E-03,-20.10050E-03,+18.69346748E+00
-48.85000E-03,+40.20100E-03,-125.00000E-03,-20.10050E-03,+18.49246246E+00
-48.80000E-03,+40.20100E-03,-125.00000E-03,-20.10050E-03,+18.69346748E+00
-48.75000E-03,+40.20100E-03,-527.01005E-03,-20.10050E-03,+18.49246246E+00
-48.70000E-03,+40.20100E-03,-527.01005E-03,-20.10050E-03,+18.49246246E+00
-48.65000E-03,+20.10050E-03,-728.01508E-03,-20.10050E-03,+18.69346748E+00
-48.60000E-03,+40.20100E-03,-1.13002513E+00,+0.0E+00,+18.69346748E+00
-48.55000E-03,+20.10050E-03,-1.53203519E+00,-20.10050E-03,+18.69346748E+00
-48.50000E-03,+40.20100E-03,-1.73304021E+00,-40.20100E-03,+18.69346748E+00
