x-axis,1,2,3,F1
second,Volt,Volt,Volt,Volt
+630.0000E-06,-818.1205941E-03,-2.8140703216E+00,-8.0402009E-03,+2.0104466788E+00
+630.2500E-06,-838.2210964E-03,-2.8140703216E+00,-8.0402009E-03,+1.9904271476E+00
+630.5000E-06,-818.1205941E-03,-2.8140703216E+00,-12.0603014E-03,+1.9904271476E+00
+630.7500E-06,-821.8894383E-03,-2.8140703216E+00,-15.3266330E-03,+1.9904271476E+00
+631.0000E-06,-838.2210964E-03,-2.8140703216E+00,-15.8291456E-03,+1.9904271476E+00
+631.2500E-06,-838.2210964E-03,-2.8140703216E+00,-16.0804018E-03,+1.9904271476E+00
+631.5000E-06,-829.4271267E-03,-2.8140703216E+00,-16.0804018E-03,+1.9904271476E+00
+631.7500E-06,-838.2210964E-03,-2.8140703216E+00,-16.8341707E-03,+1.9904271476E+00
+632.0000E-06,-838.2210964E-03,-2.8140703216E+00,-19.8492460E-03,+1.9904271476E+00
+632.2500E-06,-838.2210964E-03,-2.8140703216E+00,-20.1005023E-03,+1.9904271476E+00
+632.5000E-06,-838.2210964E-03,-2.8140703216E+00,-24.1206028E-03,+1.9904271476E+00
+632.7500E-06,-841.9899406E-03,-2.8140703216E+00,-24.1206028E-03,+1.9866734855E+00
+633.0000E-06,-838.2210964E-03,-2.7386934380E+00,-24.1206028E-03,+1.9904271476E+00
+633.2500E-06,-838.2210964E-03,-2.8140703216E+00,-28.1407032E-03,+1.9704076163E+00
+633.5000E-06,-847.0150662E-03,-2.8140703216E+00,-28.1407032E-03,+2.0055486076E+00
+633.7500E-06,-841.9899406E-03,-2.8140703216E+00,-32.1608037E-03,+1.9704076163E+00
+634.0000E-06,-858.3215987E-03,-2.8140703216E+00,-32.1608037E-03,+1.9704076163E+00
+634.2500E-06,-838.2210964E-03,-2.7587939403E+00,-32.1608037E-03,+1.9904271476E+00
+634.5000E-06,-858.3215987E-03,-2.8140703216E+00,-36.1809041E-03,+1.9704076163E+00
+634.7500E-06,-854.5527546E-03,-2.8140703216E+00,-36.1809041E-03,+1.9741612785E+00
+635.0000E-06,-857.0653173E-03,-2.8140703216E+00,-36.1809041E-03,+1.9704076163E+00
+635.2500E-06,-852.0401918E-03,-2.8140703216E+00,-36.1809041E-03,+1.9704076163E+00
+635.5000E-06,-849.5276290E-03,-2.8140703216E+00,-40.2010046E-03,+1.9704076163E+00
+635.7500E-06,-838.2210964E-03,-2.7336683124E+00,-40.2010046E-03,+1.9716130607E+00
+636.0000E-06,-838.2210964E-03,-2.7386934380E+00,-44.2211051E-03,+1.9704076163E+00
+636.2500E-06,-838.2210964E-03,-2.8140703216E+00,-44.2211051E-03,+1.9704076163E+00
+636.5000E-06,-847.0150662E-03,-2.7336683124E+00,-48.2412055E-03,+1.9352666251E+00
+636.7500E-06,-841.9899406E-03,-2.7336683124E+00,-48.2412055E-03,+1.9704076163E+00
+637.0000E-06,-858.3215987E-03,-2.7336683124E+00,-48.2412055E-03,+1.8900853507E+00
+637.2500E-06,-844.5025034E-03,-2.7336683124E+00,-52.2613060E-03,+1.8900853507E+00
+637.5000E-06,-838.2210964E-03,-2.6884421823E+00,-52.2613060E-03,+1.8900853507E+00
+637.7500E-06,-854.5527546E-03,-2.7336683124E+00,-55.5276376E-03,+1.8900853507E+00
+638.0000E-06,-838.2210964E-03,-2.7336683124E+00,-56.2814064E-03,+1.9101048820E+00
+638.2500E-06,-838.2210964E-03,-2.7336683124E+00,-56.2814064E-03,+1.9038487785E+00
+638.5000E-06,-849.5276290E-03,-2.7336683124E+00,-58.5427129E-03,+1.8900853507E+00
+638.7500E-06,-854.5527546E-03,-2.7336683124E+00,-60.3015069E-03,+1.8938390128E+00
+639.0000E-06,-857.0653173E-03,-2.7336683124E+00,-60.3015069E-03,+1.8900853507E+00
+639.2500E-06,-838.2210964E-03,-2.7085426845E+00,-64.3216074E-03,+1.9101048820E+00
+639.5000E-06,-838.2210964E-03,-2.6884421822E+00,-64.3216074E-03,+1.8649236075E+00
+639.7500E-06,-841.9899406E-03,-2.6683416800E+00,-64.3216074E-03,+1.8248235099E+00
